Original,R2,Modelo,RMSE,Iteración_independiente
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9990206734464002,X1*(-0.003215718*X2 + 0.24436 - 0.0521499999999999/sin(sin(0.716*X2))),0.005956648060236,23
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9986649056647569,0.386739*X1*sin(sin(0.604*X2)) - 0.06984*X1 + 0.004,0.0085824238990254,23
2 * Cain / (1 + exp(-5.7 * t)),0.9999736742049328,1.995669*X1 + 0.066384*X2*cos(1.052*X2) + 0.132768*X2 - 0.184,0.0108926518415136,24
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.999612747428343,X1*(X2*(0.256865 - 0.01009256*X2) - 0.037634130575307)/X2,0.0042062220259,24
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9926911015779492,0.031*(1.71*X1 + sin(0.744*X1))*(0.365*X1 + 0.383*X2 + sin(0.959*X2)) + 0.03,0.0162894117942713,24
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.998251995222764,0.096085962*X1*X2 + 0.077224*X1*sin(0.721*X2)*sin(1.181*X2) - 0.006,0.0098242691874532,24
2 * Cain / (1 + exp(-5.7 * t)),0.9999824751175684,1.995*X1 + 1.596*cos(exp(-1.792*X2)) - 1.585,0.0088890061732732,25
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9998648209357328,0.21714*X1 - 0.003 - 0.282*exp(-9.33866037735849*X2**2/X1),0.0024816660950761,25
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9996625963038288,0.205671*X1 - 0.0191557850470842*X1*exp(0.94*X2)/X2**2,0.0034942372106163,25
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.998630371566102,0.020701404*X1*X2 + 0.205571*X1*sin(0.693*X2) - 0.205571*X1*exp(-2.998*X2) + 0.004,0.0087022422773236,25
2 * Cain / (1 + exp(-5.7 * t)),0.999989892419838,2.020734*X1 + 0.009762*X1/(1.221*X2 + cos(2.414*X2)) - 0.0396829268292683*X1/X2 - 0.005,0.0067549542873716,26
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9996665044817168,-0.001 + 8.105*exp(-exp(-3.159*X2))*sin(0.027*X1)*cos(0.063*X2),0.0039123740790929,26
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9998730890274808,0.173046*X1 - 0.538919*X1*exp(-3.598*X2),0.002144216292241,26
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9973088796106752,0.313335*X1 - 0.151681614349776*X1/X2 + 0.161766816143498 - 0.739910313901345*sin(0.23*X2)/X2,0.0121929607699343,26
2 * Cain / (1 + exp(-5.7 * t)),0.9999854943816976,1.931798*X1 + X2*(0.073432416*X1 + 0.096368)*cos(sin(0.486*X2))**2 - 0.085,0.0080755587197097,27
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999483627563572,(-0.0197544827586207*X1 + X2**2*(0.217107*X1 - 0.007)*(1.595169*X2 + 0.725) + 0.023925*X2**2)/(X2**2*(1.595169*X2 + 0.725)),0.0015508025104158,27
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9988853180355954,X1*(0.175236*X2**3 - 0.0108310790344986*X2 - 0.00759542709291627)/X2**3,0.0063584336347394,27
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9997919120408284,X1*(0.311308*sin(0.506*X2) - 0.0253025*cos(2.274*X2) - 0.0253025),0.0034043575597331,27
2 * Cain / (1 + exp(-5.7 * t)),0.9999749277343776,1.99456*X1 + 0.04232*X2 - 0.159 + 1.84*exp(-1.263*X2)*sin(0.455*X2)**2,0.0106256992114002,28
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9986399847147216,-0.00177616087503087*X1**2*X2 + 0.248253710009355*X1 - 0.0302329279700655*X1/X2 - 0.013,0.0078857858450006,28
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9998834403045536,0.173689*X1 - 0.424907*X1*exp(-3.216*X2),0.0020528042410222,28
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9990281356487632,(0.163184*X1 - 0.002632*X2)*(sin(0.596*X2) + cos(cos(1.259*X2)))*sin(0.583*X2) + 0.007,0.0073230648927071,28
2 * Cain / (1 + exp(-5.7 * t)),0.9999994643685874,(1.995136*X1 + 0.480921212121212)*cos(exp(-2.456*X2)) - 0.513,0.0015655515460848,29
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.999870267355873,0.21723*X1 - 0.195*exp(exp(-8.0091037735849*X2**2/X1)) + 0.192,0.0024334440987183,29
